,geometry
208,"POLYGON ((223.125 45.875, 223.125 46.125, 222.875 46.125, 222.875 45.875, 223.125 45.875))"
209,"POLYGON ((223.375 45.875, 223.375 46.125, 223.125 46.125, 223.125 45.875, 223.375 45.875))"
210,"POLYGON ((223.625 45.875, 223.625 46.125, 223.375 46.125, 223.375 45.875, 223.625 45.875))"
211,"POLYGON ((223.875 45.875, 223.875 46.125, 223.625 46.125, 223.625 45.875, 223.875 45.875))"
212,"POLYGON ((224.125 45.875, 224.125 46.125, 223.875 46.125, 223.875 45.875, 224.125 45.875))"
213,"POLYGON ((224.375 45.875, 224.375 46.125, 224.125 46.125, 224.125 45.875, 224.375 45.875))"
214,"POLYGON ((224.625 45.875, 224.625 46.125, 224.375 46.125, 224.375 45.875, 224.625 45.875))"
215,"POLYGON ((224.875 45.875, 224.875 46.125, 224.625 46.125, 224.625 45.875, 224.875 45.875))"
216,"POLYGON ((225.125 45.875, 225.125 46.125, 224.875 46.125, 224.875 45.875, 225.125 45.875))"
217,"POLYGON ((225.375 45.875, 225.375 46.125, 225.125 46.125, 225.125 45.875, 225.375 45.875))"
218,"POLYGON ((225.625 45.875, 225.625 46.125, 225.375 46.125, 225.375 45.875, 225.625 45.875))"
219,"POLYGON ((225.875 45.875, 225.875 46.125, 225.625 46.125, 225.625 45.875, 225.875 45.875))"
220,"POLYGON ((226.125 45.875, 226.125 46.125, 225.875 46.125, 225.875 45.875, 226.125 45.875))"
221,"POLYGON ((226.375 45.875, 226.375 46.125, 226.125 46.125, 226.125 45.875, 226.375 45.875))"
222,"POLYGON ((226.625 45.875, 226.625 46.125, 226.375 46.125, 226.375 45.875, 226.625 45.875))"
223,"POLYGON ((226.875 45.875, 226.875 46.125, 226.625 46.125, 226.625 45.875, 226.875 45.875))"
224,"POLYGON ((227.125 45.875, 227.125 46.125, 226.875 46.125, 226.875 45.875, 227.125 45.875))"
225,"POLYGON ((227.375 45.875, 227.375 46.125, 227.125 46.125, 227.125 45.875, 227.375 45.875))"
226,"POLYGON ((227.625 45.875, 227.625 46.125, 227.375 46.125, 227.375 45.875, 227.625 45.875))"
227,"POLYGON ((227.875 45.875, 227.875 46.125, 227.625 46.125, 227.625 45.875, 227.875 45.875))"
228,"POLYGON ((228.125 45.875, 228.125 46.125, 227.875 46.125, 227.875 45.875, 228.125 45.875))"
229,"POLYGON ((228.375 45.875, 228.375 46.125, 228.125 46.125, 228.125 45.875, 228.375 45.875))"
230,"POLYGON ((228.625 45.875, 228.625 46.125, 228.375 46.125, 228.375 45.875, 228.625 45.875))"
231,"POLYGON ((228.875 45.875, 228.875 46.125, 228.625 46.125, 228.625 45.875, 228.875 45.875))"
232,"POLYGON ((229.125 45.875, 229.125 46.125, 228.875 46.125, 228.875 45.875, 229.125 45.875))"
233,"POLYGON ((229.375 45.875, 229.375 46.125, 229.125 46.125, 229.125 45.875, 229.375 45.875))"
234,"POLYGON ((229.625 45.875, 229.625 46.125, 229.375 46.125, 229.375 45.875, 229.625 45.875))"
235,"POLYGON ((229.875 45.875, 229.875 46.125, 229.625 46.125, 229.625 45.875, 229.875 45.875))"
236,"POLYGON ((230.125 45.875, 230.125 46.125, 229.875 46.125, 229.875 45.875, 230.125 45.875))"
237,"POLYGON ((230.375 45.875, 230.375 46.125, 230.125 46.125, 230.125 45.875, 230.375 45.875))"
238,"POLYGON ((230.625 45.875, 230.625 46.125, 230.375 46.125, 230.375 45.875, 230.625 45.875))"
239,"POLYGON ((230.875 45.875, 230.875 46.125, 230.625 46.125, 230.625 45.875, 230.875 45.875))"
240,"POLYGON ((231.125 45.875, 231.125 46.125, 230.875 46.125, 230.875 45.875, 231.125 45.875))"
241,"POLYGON ((231.375 45.875, 231.375 46.125, 231.125 46.125, 231.125 45.875, 231.375 45.875))"
242,"POLYGON ((231.625 45.875, 231.625 46.125, 231.375 46.125, 231.375 45.875, 231.625 45.875))"
243,"POLYGON ((231.875 45.875, 231.875 46.125, 231.625 46.125, 231.625 45.875, 231.875 45.875))"
244,"POLYGON ((232.125 45.875, 232.125 46.125, 231.875 46.125, 231.875 45.875, 232.125 45.875))"
245,"POLYGON ((232.375 45.875, 232.375 46.125, 232.125 46.125, 232.125 45.875, 232.375 45.875))"
246,"POLYGON ((232.625 45.875, 232.625 46.125, 232.375 46.125, 232.375 45.875, 232.625 45.875))"
247,"POLYGON ((232.875 45.875, 232.875 46.125, 232.625 46.125, 232.625 45.875, 232.875 45.875))"
248,"POLYGON ((233.125 45.875, 233.125 46.125, 232.875 46.125, 232.875 45.875, 233.125 45.875))"
